specification,evidence,outcome,term,coefficient,standard_error,ci_low,ci_high,p_value,observations,stable_sites,r_squared
Broad engineering bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_Before 1990,-1.56853528,0.0846477124,-1.73444175,-1.40262881,1.17945447e-76,6535,496,0.543503267
Broad engineering bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_1990-1999,-0.886899904,0.0641920356,-1.01271398,-0.761085826,2.03098421e-43,6535,496,0.543503267
Broad engineering bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_2000-2009,-0.269039194,0.043843732,-0.35497133,-0.183107058,8.44546634e-10,6535,496,0.543503267
Broad engineering bounds,between-and-within pooled component model,log_generator_design_intensity,log_capacity_t_day,0.536433838,0.0447065278,0.448810653,0.624057022,3.59594623e-33,6535,496,0.543503267
Broad engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_Before 1990,0.31356878,0.0434966896,0.228316835,0.398820725,5.63533668e-13,6535,496,0.329717331
Broad engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_1990-1999,0.203103895,0.0329846338,0.138455201,0.26775259,7.38879237e-10,6535,496,0.329717331
Broad engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_2000-2009,0.025708695,0.0296698957,-0.0324432319,0.083860622,0.386221007,6535,496,0.329717331
Broad engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,log_capacity_t_day,-0.109040279,0.0248528815,-0.157751031,-0.0603295263,1.14697866e-05,6535,496,0.329717331
Broad engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,capacity_utilization_raw,1.72298186,0.146677845,1.43549857,2.01046516,7.34235974e-32,6535,496,0.329717331
Broad engineering bounds,between-and-within pooled component model,log_gross_generation_mwh,log_throughput_t_year,0.64927987,0.0596999835,0.532270053,0.766289688,1.50475126e-27,6535,496,0.909856307
Broad engineering bounds,between-and-within pooled component model,log_gross_generation_mwh,log_power_capacity_kw,0.578679315,0.0421036654,0.496157647,0.661200983,5.52137191e-43,6535,496,0.909856307
Within-lineage asset-episode FE: capacity factor,"within-lineage, within-asset operational model",log_electrical_capacity_factor,capacity_utilization_raw,2.38111781,0.116392608,2.15299249,2.60924313,5.13675288e-93,6486,471,0.475448694
Within-lineage asset-episode FE: gross output,"within-lineage, within-asset operational model",log_power_generated_mwh,log_throughput_t_year,1.11944736,0.0297416101,1.06115487,1.17773984,4.93332383e-310,6486,471,0.606213264
Within-lineage asset-episode FE: gross output,"within-lineage, within-asset operational model",log_power_generated_mwh,log_power_capacity_kw,0.64128166,0.172714045,0.302768352,0.979794967,0.000204843085,6486,471,0.606213264
Exact-adjacent first difference: capacity factor,exact-adjacent within-lineage change model,delta_log_electrical_capacity_factor,delta_capacity_utilization_raw,2.64465019,0.111755669,2.4256131,2.86368727,8.35613526e-124,5958,470,0.483552237
Exact-adjacent first difference: gross output,exact-adjacent within-lineage change model,delta_log_power_generated_mwh,delta_log_throughput_t_year,1.14057103,0.0366721256,1.06869499,1.21244708,2.27355228e-212,5958,470,0.559935501
Exact-adjacent first difference: gross output,exact-adjacent within-lineage change model,delta_log_power_generated_mwh,delta_log_power_capacity_kw,0.208165923,0.119119638,-0.0253042775,0.441636124,0.0805443082,5958,470,0.559935501
