specification,evidence,outcome,term,coefficient,standard_error,ci_low,ci_high,p_value,observations,stable_sites,r_squared
Conservative engineering bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_2000-2009,-0.2718272874,0.0419293053,-0.3540072157,-0.1896473591,8.992216972e-11,6432,490,0.5557576603
Conservative engineering bounds,between-and-within pooled component model,log_generator_design_intensity,log_capacity_t_day,0.5204306629,0.04143661501,0.4392163899,0.601644936,3.517484022e-36,6432,490,0.5557576603
Conservative engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_Before 1990,0.2821596061,0.03950036252,0.2047403182,0.359578894,9.117244358e-13,6432,490,0.3363682705
Conservative engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_1990-1999,0.1828122184,0.03118227215,0.1216960881,0.2439283488,4.554083582e-09,6432,490,0.3363682705
Conservative engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_2000-2009,0.0003368661124,0.02754499179,-0.05365032575,0.05432405797,0.9902423797,6432,490,0.3363682705
Conservative engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,log_capacity_t_day,-0.1271185395,0.02236867893,-0.1709603446,-0.08327673439,1.324444638e-08,6432,490,0.3363682705
Conservative engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,capacity_utilization_raw,1.554736811,0.09826762472,1.362135805,1.747337816,2.213180649e-56,6432,490,0.3363682705
Conservative engineering bounds,between-and-within pooled component model,log_gross_generation_mwh,log_throughput_t_year,0.6195183324,0.03847972929,0.5440994489,0.694937216,2.556740621e-58,6432,490,0.922588163
Conservative engineering bounds,between-and-within pooled component model,log_gross_generation_mwh,log_power_capacity_kw,0.5666090937,0.02861491231,0.5105248961,0.6226932912,2.907886407e-87,6432,490,0.922588163
Broad engineering bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_Before 1990,-1.56853528,0.08464771239,-1.734441747,-1.402628812,1.179454472e-76,6535,496,0.543503267
Broad engineering bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_1990-1999,-0.8868999038,0.06419203556,-1.012713982,-0.761085826,2.030984214e-43,6535,496,0.543503267
Broad engineering bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_2000-2009,-0.2690391938,0.04384373203,-0.3549713296,-0.1831070581,8.445466336e-10,6535,496,0.543503267
Broad engineering bounds,between-and-within pooled component model,log_generator_design_intensity,log_capacity_t_day,0.5364338377,0.04470652784,0.4488106533,0.6240570222,3.595946227e-33,6535,496,0.543503267
Broad engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_Before 1990,0.3135687803,0.04349668958,0.2283168353,0.3988207254,5.635336681e-13,6535,496,0.3297173311
Broad engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_1990-1999,0.2031038953,0.03298463382,0.138455201,0.2677525897,7.388792371e-10,6535,496,0.3297173311
Broad engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_2000-2009,0.02570869503,0.02966989568,-0.03244323193,0.083860622,0.3862210068,6535,496,0.3297173311
Broad engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,log_capacity_t_day,-0.1090402788,0.02485288146,-0.1577510314,-0.06032952626,1.146978662e-05,6535,496,0.3297173311
Broad engineering bounds,between-and-within pooled component model,log_electrical_capacity_factor,capacity_utilization_raw,1.722981862,0.1466778452,1.435498568,2.010465156,7.34235974e-32,6535,496,0.3297173311
Broad engineering bounds,between-and-within pooled component model,log_gross_generation_mwh,log_throughput_t_year,0.6492798702,0.05969998349,0.5322700527,0.7662896877,1.504751258e-27,6535,496,0.9098563065
Broad engineering bounds,between-and-within pooled component model,log_gross_generation_mwh,log_power_capacity_kw,0.5786793153,0.04210366542,0.4961576475,0.6612009831,5.521371909e-43,6535,496,0.9098563065
Within-lineage asset-episode FE: capacity factor,"within-lineage, within-asset operational model",log_electrical_capacity_factor,capacity_utilization_raw,2.381117811,0.1163926084,2.15299249,2.609243132,5.136752883e-93,6486,471,0.4754486941
Within-lineage asset-episode FE: gross output,"within-lineage, within-asset operational model",log_power_generated_mwh,log_throughput_t_year,1.119447358,0.02974161007,1.061154874,1.177739843,4.933323829e-310,6486,471,0.6062132636
Within-lineage asset-episode FE: gross output,"within-lineage, within-asset operational model",log_power_generated_mwh,log_power_capacity_kw,0.6412816598,0.1727140448,0.3027683524,0.9797949673,0.0002048430847,6486,471,0.6062132636
Exact-adjacent first difference: capacity factor,exact-adjacent within-lineage change model,delta_log_electrical_capacity_factor,delta_capacity_utilization_raw,2.644650187,0.1117556691,2.425613101,2.863687274,8.356135257e-124,5958,470,0.4835522373
Exact-adjacent first difference: gross output,exact-adjacent within-lineage change model,delta_log_power_generated_mwh,delta_log_throughput_t_year,1.140571032,0.0366721256,1.068694986,1.212447077,2.27355228e-212,5958,470,0.5599355005
Exact-adjacent first difference: gross output,exact-adjacent within-lineage change model,delta_log_power_generated_mwh,delta_log_power_capacity_kw,0.2081659232,0.1191196382,-0.02530427751,0.441636124,0.08054430822,5958,470,0.5599355005
