fiscal_year,standardized_field,mapping_status,header_row_zero_based,header_row_excel,column_index_zero_based,column_excel,matched_keyword,matched_header_text,parser_selected_column_index_zero_based,parser_selected_column_excel,parser_selected_header_text,parser_column_adjustment
2020,waste_type,detected_by_parser_keyword_search,1,2,9,J,処理対象廃棄物,処理対象廃棄物,9,J,処理対象廃棄物,none
2020,facility_type,detected_by_parser_keyword_search,1,2,11,L,施設の種類,施設の種類,11,L,施設の種類,none
2020,sell_revenue_yen,detected_by_parser_keyword_search,3,4,29,AD,売電収入,売電収入,29,AD,売電収入,none
2021,prefecture,detected_by_parser_keyword_search,1,2,0,A,都道府県名,都道府県名,0,A,都道府県名,none
2021,muni_code,detected_by_parser_keyword_search,1,2,1,B,地方公共団体コード,地方公共団体コード,1,B,地方公共団体コード,none
2021,facility_code,detected_by_parser_keyword_search,1,2,2,C,施設コード,施設コード,2,C,施設コード,none
2021,facility_name,detected_by_parser_keyword_search,1,2,4,E,施設名称,施設名称,4,E,施設名称,none
2021,throughput_t_year,detected_by_parser_keyword_search,1,2,6,G,年間処理量,年間処理量,6,G,年間処理量,none
2021,capacity_t_day,detected_by_parser_keyword_search,1,2,17,R,処理能力,施設全体の処理能力,17,R,施設全体の処理能力,none
2021,n_furnaces,detected_by_parser_keyword_search,1,2,18,S,炉数,炉数,18,S,炉数,none
2021,year_started,detected_by_parser_keyword_search,1,2,19,T,使用開始年度,使用開始年度,19,T,使用開始年度,none
2021,heat_util_status,detected_by_parser_keyword_search,1,2,20,U,余熱利用の状況,余熱利用の状況,20,U,余熱利用の状況,none
2021,power_capacity_kw,detected_by_parser_keyword_search,1,2,25,Z,発電能力,発電能力,25,Z,発電能力,none
2021,power_efficiency_pct,detected_by_parser_keyword_search,3,4,26,AA,発電効率,発電効率(仕様値・公称値),26,AA,発電効率(仕様値・公称値),none
2021,power_generated_mwh,detected_by_parser_keyword_search,3,4,27,AB,総発電量,総発電量(実績値),27,AB,総発電量(実績値),none
2021,power_sold_mwh,detected_by_parser_keyword_search,1,2,29,AD,余剰電力,余剰電力利用(売電),29,AD,余剰電力利用(売電),none
2021,heating_value_kj_kg,detected_by_parser_keyword_search,1,2,67,BP,低位発熱量,低位発熱量,67,BP,低位発熱量,none
2021,furnace_type,detected_by_parser_keyword_search,1,2,14,O,処理方式,処理方式,14,O,処理方式,none
2021,operation_mode,detected_by_parser_keyword_search,1,2,15,P,炉型式,炉型式,15,P,炉型式,none
2021,waste_type,detected_by_parser_keyword_search,1,2,10,K,処理対象廃棄物,処理対象廃棄物,10,K,処理対象廃棄物,none
2021,facility_type,detected_by_parser_keyword_search,1,2,12,M,施設の種類,施設の種類,12,M,施設の種類,none
2021,sell_revenue_yen,detected_by_parser_keyword_search,3,4,30,AE,売電収入,売電収入,30,AE,売電収入,none
2022,prefecture,detected_by_parser_keyword_search,1,2,0,A,都道府県名,都道府県名,0,A,都道府県名,none
2022,muni_code,detected_by_parser_keyword_search,1,2,1,B,地方公共団体コード,地方公共団体コード,1,B,地方公共団体コード,none
2022,facility_code,detected_by_parser_keyword_search,1,2,2,C,施設コード,施設コード,2,C,施設コード,none
2022,facility_name,detected_by_parser_keyword_search,1,2,4,E,施設名称,施設名称,4,E,施設名称,none
2022,throughput_t_year,detected_by_parser_keyword_search,1,2,5,F,年間処理量,年間処理量,5,F,年間処理量,none
2022,capacity_t_day,detected_by_parser_keyword_search,1,2,16,Q,処理能力,施設全体の処理能力,16,Q,施設全体の処理能力,none
2022,n_furnaces,detected_by_parser_keyword_search,1,2,17,R,炉数,炉数,17,R,炉数,none
2022,year_started,detected_by_parser_keyword_search,1,2,18,S,使用開始年度,使用開始年度,18,S,使用開始年度,none
2022,heat_util_status,detected_by_parser_keyword_search,1,2,19,T,余熱利用の状況,余熱利用の状況,19,T,余熱利用の状況,none
2022,power_capacity_kw,detected_by_parser_keyword_search,1,2,24,Y,発電能力,発電能力,24,Y,発電能力,none
2022,power_efficiency_pct,detected_by_parser_keyword_search,3,4,25,Z,発電効率,発電効率(仕様値・公称値),25,Z,発電効率(仕様値・公称値),none
